,0,1,2,3,4,5,6,7,8,9
36,37i9dQZF1DX1lVhptIYRda,0ODaBMQ3tbTefbmbMWTwdT,0.463,0.76,0.11,0.0379,0.0,0.115,0.65,123.899
37,37i9dQZF1DX1lVhptIYRda,5GZpFMMargJUqhbLoI94Tz,0.485,0.883,0.0403,0.00177,6.38e-06,0.37,0.604,129.021
38,37i9dQZF1DX1lVhptIYRda,3zAOcNGOFq5Q1OsN0tcxA0,0.796,0.621,0.0346,0.175,0.0,0.274,0.808,121.904
39,37i9dQZF1DX1lVhptIYRda,7ivOkXLuP1182ZtzA54Vbw,0.619,0.916,0.0468,0.0483,4.88e-06,0.246,0.785,114.019
40,37i9dQZF1DX1lVhptIYRda,5J8AKBaUq1WHrzrm9YWlP3,0.447,0.538,0.0338,0.119,0.0,0.188,0.453,123.746
41,37i9dQZF1DX1lVhptIYRda,6Wy1WU6nkioVn681Rom3SP,0.602,0.928,0.0859,0.016,0.0,0.105,0.429,123.121
42,37i9dQZF1DX1lVhptIYRda,5fjoMV6IwPKFsmm0LQuv0m,0.56,0.802,0.0373,0.0863,0.0,0.116,0.423,103.059
43,37i9dQZF1DX1lVhptIYRda,3u6YTdxBfx3dzIC5qJ9Afu,0.534,0.632,0.03,0.515,0.0,0.0922,0.227,143.866
44,37i9dQZF1DX1lVhptIYRda,55M9eKCXJFCpid6WBVyEct,0.702,0.778,0.0287,0.302,0.0,0.126,0.879,91.014
45,37i9dQZF1DX1lVhptIYRda,6OSa9hgEvituO2SaaYBiwD,0.514,0.693,0.0528,0.0961,0.0,0.071,0.46,156.039
46,37i9dQZF1DX1lVhptIYRda,5n4kMW5dn7MHFhXQuJb9zG,0.478,0.516,0.0267,0.403,0.0,0.0823,0.376,80.09
47,37i9dQZF1DX1lVhptIYRda,13G5xv1wUKvJYbK0wYmioN,0.591,0.814,0.0468,0.015,0.0,0.117,0.815,149.9
48,37i9dQZF1DX1lVhptIYRda,4QakuMSCrvw79FQV55xx6T,0.516,0.481,0.0254,0.00865,1.18e-05,0.226,0.196,144.097
49,37i9dQZF1DX1lVhptIYRda,7GMXESVLghURYtnMXl7Ngn,0.617,0.84,0.0802,0.0914,1.36e-06,0.0451,0.721,85.998
50,37i9dQZF1DX1lVhptIYRda,3TuMOIzXkhKFDNHyQ7Mo8J,0.553,0.609,0.0469,0.151,0.0,0.112,0.471,73.903
0,37i9dQZF1DX10zKzsJ2jva,0Yc0ziTsyjahYqlWXVXlTU,0.761,0.784,0.133,0.15,0.0,0.125,0.691,114.93
1,37i9dQZF1DX10zKzsJ2jva,3k3NWokhRRkEPhCzPmV8TW,0.647,0.686,0.0413,0.08,1.34e-06,0.528,0.268,79.928
2,37i9dQZF1DX10zKzsJ2jva,2U0jWXrxJUzWVlLsHttAXJ,0.831,0.697,0.0483,0.175,0.0,0.0757,0.964,120.047
3,37i9dQZF1DX10zKzsJ2jva,6Xom58OOXk2SoU711L2IXO,0.804,0.674,0.0333,0.294,1.18e-06,0.115,0.292,99.968
4,37i9dQZF1DX10zKzsJ2jva,7dSZ6zGTQx66c2GF91xCrb,0.87,0.516,0.0541,0.656,0.00823,0.11,0.53,111.005
5,37i9dQZF1DX10zKzsJ2jva,1O2pcBJGej0pmH2Y9XZMs6,0.87,0.548,0.077,0.0924,4.6e-05,0.0534,0.832,96.018
6,37i9dQZF1DX10zKzsJ2jva,1ri9ZUkBJVFUdgwzCnfcYs,0.843,0.7,0.0803,0.0934,0.0,0.14,0.899,93.991
7,37i9dQZF1DX10zKzsJ2jva,1UdzJEpgJxtuXAlCOvD4S0,0.453,0.673,0.144,0.32,0.0,0.131,0.266,92.06
8,37i9dQZF1DX10zKzsJ2jva,1dm6z1fWB0cErMszU25dy2,0.564,0.903,0.307,0.356,0.0,0.175,0.607,78.293
9,37i9dQZF1DX10zKzsJ2jva,2rurDawMfoKP4uHyb2kJBt,0.695,0.636,0.317,0.234,0.0,0.081,0.575,174.14
10,37i9dQZF1DX10zKzsJ2jva,6ZOcbKub95XSDESsKKuH41,0.869,0.694,0.0783,0.356,0.00125,0.0878,0.511,90.02
11,37i9dQZF1DX10zKzsJ2jva,3IAfUEeaXRX9s9UdKOJrFI,0.812,0.736,0.0833,0.152,0.00254,0.0914,0.396,91.993
